no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status
1,0,0,2,Meal Plan 2,0,Room_Type 1,2018,10,14,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,4,1,Online,0,0,0,0,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,2018,12,21,Online,0,0,0,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,2017,9,10,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,10,16,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,5,4,Online,0,0,0,0,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,2018,4,24,Online,0,0,0,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,8,27,Online,0,0,0,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,2017,8,10,Online,0,0,0,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,6,13,Online,0,0,0,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,12,18,Offline,0,0,0,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,2018,7,18,Online,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,2018,11,21,Online,0,0,0,3,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,2018,4,13,Online,0,0,0,0,Canceled
3,0,1,0,Meal Plan 1,0,Room_Type 4,2018,2,14,Online,0,0,0,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,3,17,Corporate,1,0,1,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,2018,10,31,Online,0,0,0,0,Canceled
2,0,2,5,Not Selected,0,Room_Type 1,2018,6,28,Online,0,0,0,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 2,2018,3,25,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,3,4,Online,0,0,0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 5,2018,7,14,Corporate,0,0,0,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2017,9,19,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,1,Room_Type 4,2018,9,27,Online,0,0,0,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,5,16,Online,0,0,0,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,5,10,Corporate,1,0,2,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,6,17,Online,0,0,0,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,4,17,Online,0,0,0,0,Canceled
2,0,2,3,Not Selected,0,Room_Type 1,2018,6,30,Online,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,8,30,Online,0,0,0,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,6,23,Online,0,0,0,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,2018,10,9,Online,0,0,0,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,10,29,Online,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,2,14,Offline,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2017,11,11,Corporate,0,0,0,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,3,13,Corporate,0,0,0,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,3,6,Offline,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2017,9,22,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,10,13,Offline,0,0,0,0,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 4,2018,9,17,Online,0,0,0,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,3,20,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,2018,5,2,Online,0,0,0,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,9,29,Online,0,0,0,1,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,1,19,Offline,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,9,16,Online,0,0,0,0,Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,2018,6,29,Online,0,0,0,3,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,9,29,Online,0,0,0,1,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 4,2018,11,17,Online,0,0,0,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,11,15,Online,0,0,0,2,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,5,8,Online,0,0,0,0,Not_Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,2018,12,23,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,9,29,Online,0,0,0,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2018,6,19,Online,0,0,0,0,Canceled
1,0,1,1,Not Selected,0,Room_Type 1,2018,11,19,Online,0,0,0,1,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 5,2018,5,5,Online,0,0,0,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2017,12,3,Offline,0,0,0,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,2018,3,7,Online,0,0,0,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2017,9,15,Online,0,0,0,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,2017,10,19,Online,0,0,0,0,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,2018,6,26,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2017,10,2,Offline,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,2018,3,16,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,9,18,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2018,10,14,Online,0,0,0,2,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,2018,9,25,Online,0,0,0,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,11,25,Online,0,0,0,0,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,2018,7,3,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2017,11,20,Offline,0,0,0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,8,17,Corporate,0,0,0,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,11,16,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,8,24,Online,0,0,0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,2018,5,18,Online,0,0,0,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,2018,4,16,Online,0,0,0,1,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,2018,7,13,Online,0,0,0,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,2017,10,16,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,3,24,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,10,16,Online,0,0,0,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,2018,9,22,Online,0,0,0,1,Canceled
2,1,2,2,Meal Plan 1,0,Room_Type 1,2018,5,1,Online,0,0,0,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,2018,5,9,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,5,6,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,8,1,Online,0,0,0,1,Not_Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 4,2018,8,29,Online,0,0,0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,2018,10,2,Online,0,0,0,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,3,4,Online,0,0,0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,8,2,Online,0,0,0,0,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,2018,3,27,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,6,2,Offline,0,0,0,1,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,2018,7,7,Online,0,0,0,2,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,2018,7,30,Online,0,0,0,0,Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 1,2018,3,4,Online,0,0,0,2,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,2018,11,25,Complementary,0,0,0,2,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 1,2018,11,6,Online,0,0,0,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,9,18,Online,0,0,0,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,2017,9,15,Offline,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,6,30,Online,0,0,0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,5,21,Online,0,0,0,1,Canceled
1,0,0,2,Not Selected,0,Room_Type 1,2018,10,19,Online,0,0,0,1,Not_Canceled
1,0,1,1,Meal Plan 1,1,Room_Type 1,2018,8,1,Online,0,0,0,1,Not_Canceled
2,0,2,3,Meal Plan 1,1,Room_Type 4,2018,6,30,Online,0,0,0,1,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,2018,7,30,Online,0,0,0,1,Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,2018,6,22,Offline,0,0,0,0,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,2018,4,18,Offline,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 2,2018,12,23,Online,0,0,0,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,1,2,Online,0,0,0,0,Not_Canceled
1,0,0,2,Meal Plan 1,1,Room_Type 1,2018,3,2,Corporate,0,0,0,1,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,2018,10,17,Online,0,0,0,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,9,18,Online,0,0,0,1,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,2018,2,6,Online,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,2018,4,23,Online,0,0,0,1,Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,2018,6,26,Online,0,0,0,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,12,6,Online,0,0,0,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,3,5,Online,0,0,0,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,6,8,Offline,0,0,0,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,2018,8,21,Online,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,11,9,Online,0,0,0,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2018,12,30,Online,0,0,0,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,7,11,Online,0,0,0,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,2018,10,13,Online,0,0,0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,24,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 5,2018,9,28,Online,0,0,0,1,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,2018,3,27,Online,0,0,0,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,3,20,Online,0,0,0,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,2018,6,12,Online,0,0,0,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,2018,9,1,Online,0,0,0,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,10,20,Online,0,0,0,2,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,5,17,Online,0,0,0,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,3,21,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,1,Room_Type 1,2017,10,13,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,9,15,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 1,1,Room_Type 1,2018,9,22,Online,0,0,0,2,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,2018,8,14,Online,0,0,0,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,5,17,Corporate,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,8,29,Online,0,0,0,3,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,2018,3,3,Offline,0,0,0,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,2018,11,27,Online,0,0,0,2,Not_Canceled
2,2,1,2,Meal Plan 1,0,Room_Type 6,2018,4,29,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2017,9,3,Offline,0,0,0,1,Not_Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,2018,5,11,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2017,9,30,Offline,0,0,0,0,Not_Canceled
2,1,2,4,Meal Plan 1,0,Room_Type 1,2018,5,7,Online,0,0,0,0,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,10,25,Online,0,0,0,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,2017,8,5,Corporate,0,0,0,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,2018,5,29,Online,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2017,12,4,Online,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,4,4,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,2018,5,24,Offline,0,0,0,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,9,15,Online,0,0,0,3,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,7,26,Online,0,0,0,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,10,4,Online,0,0,0,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,8,31,Online,0,0,0,1,Not_Canceled
3,0,2,1,Meal Plan 2,0,Room_Type 4,2018,2,13,Online,0,0,0,2,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,2017,7,25,Online,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,5,29,Offline,0,0,0,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,2018,10,8,Online,0,0,0,1,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,12,8,Online,0,0,0,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,3,26,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 2,2017,11,5,Online,0,0,0,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 2,2018,4,12,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,9,15,Online,0,0,0,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,3,17,Online,0,0,0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,7,21,Corporate,0,0,0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,7,21,Corporate,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,9,29,Online,0,0,0,2,Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,2018,6,6,Online,0,0,0,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,2018,11,12,Online,0,0,0,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,2018,1,19,Online,0,0,0,2,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,9,1,Online,0,0,0,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,7,26,Corporate,0,0,0,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,2018,1,30,Online,0,0,0,0,Canceled
2,1,2,2,Meal Plan 1,0,Room_Type 1,2018,12,23,Online,0,0,0,3,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,2017,7,17,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,4,14,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,7,21,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,11,9,Offline,0,0,0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2017,11,8,Online,0,0,0,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,2018,10,2,Online,0,0,0,0,Canceled
2,2,2,1,Meal Plan 1,0,Room_Type 6,2018,4,30,Online,0,0,0,0,Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 4,2017,10,24,Online,0,0,0,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,2018,12,2,Online,0,0,0,2,Not_Canceled
2,0,2,6,Not Selected,0,Room_Type 1,2018,2,6,Online,0,0,0,1,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 5,2018,6,9,Offline,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,10,11,Online,0,0,0,0,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,2017,8,27,Online,0,0,0,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,2018,4,18,Online,0,0,0,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2017,10,2,Offline,0,0,0,0,Not_Canceled
1,0,0,1,Not Selected,0,Room_Type 1,2018,5,11,Online,0,0,0,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,2018,3,1,Online,0,0,0,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2017,10,23,Offline,0,0,0,0,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,2018,11,7,Online,0,0,0,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,1,14,Offline,0,0,0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,10,3,Offline,0,0,0,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,9,18,Offline,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,4,18,Online,0,0,0,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,2017,12,31,Offline,0,0,0,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,5,22,Online,0,0,0,0,Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 5,2018,7,13,Online,0,0,0,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,9,2,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,11,23,Online,0,0,0,2,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2017,9,14,Online,0,0,0,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,2,25,Corporate,1,0,5,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,8,12,Online,0,0,0,0,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,2018,5,16,Corporate,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2017,10,7,Online,0,0,0,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,2,12,Online,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,5,10,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,6,7,Online,0,0,0,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2017,11,8,Online,0,0,0,1,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,2017,10,5,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,12,27,Offline,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,7,14,Offline,0,0,0,1,Not_Canceled
0,1,2,4,Meal Plan 1,0,Room_Type 2,2018,4,1,Online,0,0,0,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,10,3,Online,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,1,8,Online,0,0,0,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,2018,12,8,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,6,15,Online,0,0,0,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,1,28,Offline,0,0,0,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,2017,12,10,Online,0,0,0,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,2018,7,16,Online,0,0,0,2,Not_Canceled
3,0,0,0,Meal Plan 1,0,Room_Type 4,2018,4,1,Online,0,0,0,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,2018,9,28,Corporate,1,0,2,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,2018,8,10,Online,0,0,0,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,12,18,Offline,0,0,0,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,2018,1,27,Offline,0,0,0,0,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,2018,7,29,Online,0,0,0,0,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,2017,9,4,Online,0,0,0,0,Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 4,2018,5,9,Online,0,0,0,1,Not_Canceled
2,1,1,2,Meal Plan 2,0,Room_Type 1,2018,8,15,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,2,25,Online,0,0,0,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,2018,9,13,Online,0,0,0,1,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,12,7,Online,0,0,0,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,2017,11,28,Offline,0,0,0,0,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,2018,12,4,Online,0,0,0,2,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,2018,4,29,Online,0,0,0,0,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,2018,7,28,Online,0,0,0,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,2,7,Online,0,0,0,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,4,5,Online,0,0,0,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,2018,10,17,Online,0,0,0,2,Not_Canceled
2,2,0,1,Meal Plan 2,0,Room_Type 6,2018,8,10,Online,0,0,0,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,7,3,Offline,0,0,0,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,4,19,Online,0,0,0,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,2018,3,8,Online,0,0,0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,7,23,Online,0,0,0,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,2018,9,3,Online,0,0,0,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,4,19,Online,0,0,0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2017,10,15,Offline,0,0,0,0,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,2018,9,11,Online,0,0,0,0,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,2018,5,22,Online,0,0,0,2,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,2017,8,28,Online,0,0,0,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,9,25,Online,0,0,0,1,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,2018,2,11,Online,0,0,0,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,12,27,Offline,0,0,0,0,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,2017,12,18,Offline,0,0,0,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,2018,3,26,Online,0,0,0,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,2018,8,14,Online,0,0,0,3,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,10,16,Offline,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,6,3,Online,0,0,0,0,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,2017,12,29,Online,0,0,0,1,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,2018,10,24,Online,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,8,21,Online,0,0,0,0,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,2018,6,28,Online,0,0,0,0,Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,2018,3,21,Online,0,0,0,1,Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,2018,7,21,Offline,0,0,0,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,2018,5,22,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,11,18,Online,0,0,0,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,5,18,Corporate,0,0,0,0,Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 4,2018,4,9,Online,0,0,0,0,Canceled
2,0,1,0,Not Selected,0,Room_Type 4,2017,8,17,Online,0,0,0,0,Not_Canceled
